Date,headline,sentiment_score
2014-10-27,Market closes with mixed results today,0.0
2013-12-27,Market closes with mixed results today,0.0
2011-06-01,Economic downturn leads to massive sell-off,0.1
2010-01-18,Company X posts record-breaking revenue growth,0.0
2010-12-14,Company X posts record-breaking revenue growth,0.0
2011-04-07,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-11-01,Investors confident as economy shows strong recovery,0.4666666666666667
2013-11-13,"Company Z faces bankruptcy, stock prices plummet",0.0
2013-10-31,Economic downturn leads to massive sell-off,0.1
2013-10-23,Market crashes due to inflation concerns,-0.125
2013-09-14,Stock market surges as tech giants report strong earnings,0.4333333333333333
2014-01-01,Analysts predict stable growth next quarter,0.0
2012-08-29,Stock trading volume remains steady this week,0.16666666666666666
2010-10-09,Investors confident as economy shows strong recovery,0.4666666666666667
2011-06-06,Company X posts record-breaking revenue growth,0.0
2014-05-02,Market closes with mixed results today,0.0
2012-05-23,Stock market surges as tech giants report strong earnings,0.4333333333333333
2011-10-29,Company X posts record-breaking revenue growth,0.0
2011-12-23,Company X posts record-breaking revenue growth,0.0
2014-04-10,Market crashes due to inflation concerns,-0.125
2011-08-08,Economic downturn leads to massive sell-off,0.1
2011-04-15,Investors confident as economy shows strong recovery,0.4666666666666667
2013-07-06,Company X posts record-breaking revenue growth,0.0
2010-04-08,Market crashes due to inflation concerns,-0.125
2015-04-01,Company X posts record-breaking revenue growth,0.0
2010-12-18,Company X posts record-breaking revenue growth,0.0
2010-10-14,Analysts predict stable growth next quarter,0.0
2014-09-28,Economic downturn leads to massive sell-off,0.1
2012-03-22,"Company Z faces bankruptcy, stock prices plummet",0.0
2014-08-17,Investors confident as economy shows strong recovery,0.4666666666666667
2012-04-24,Investors confident as economy shows strong recovery,0.4666666666666667
2014-02-07,Stock market surges as tech giants report strong earnings,0.4333333333333333
2011-11-04,"Company Z faces bankruptcy, stock prices plummet",0.0
2013-02-13,Investors confident as economy shows strong recovery,0.4666666666666667
2011-07-29,"Company Z faces bankruptcy, stock prices plummet",0.0
2014-12-09,Stock trading volume remains steady this week,0.16666666666666666
2011-07-10,Economic downturn leads to massive sell-off,0.1
2013-02-08,Stock trading volume remains steady this week,0.16666666666666666
2010-08-11,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-07-03,Stock trading volume remains steady this week,0.16666666666666666
2014-06-23,Company X posts record-breaking revenue growth,0.0
2012-10-15,Investors confident as economy shows strong recovery,0.4666666666666667
2011-10-27,Investors confident as economy shows strong recovery,0.4666666666666667
2012-03-14,Investors confident as economy shows strong recovery,0.4666666666666667
2011-05-24,Investors confident as economy shows strong recovery,0.4666666666666667
2010-12-19,Stock market surges as tech giants report strong earnings,0.4333333333333333
2014-09-22,Investors confident as economy shows strong recovery,0.4666666666666667
2011-10-17,Investors confident as economy shows strong recovery,0.4666666666666667
2013-03-15,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-08-17,Market crashes due to inflation concerns,-0.125
2012-02-08,Stock market surges as tech giants report strong earnings,0.4333333333333333
2013-05-05,"Company Z faces bankruptcy, stock prices plummet",0.0
2011-04-03,Investors confident as economy shows strong recovery,0.4666666666666667
2010-04-15,Market closes with mixed results today,0.0
2015-05-27,Analysts predict stable growth next quarter,0.0
2012-03-14,Company X posts record-breaking revenue growth,0.0
2013-02-04,Economic downturn leads to massive sell-off,0.1
2012-07-06,Market crashes due to inflation concerns,-0.125
2011-02-10,Market closes with mixed results today,0.0
2015-04-30,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-11-25,"Company Z faces bankruptcy, stock prices plummet",0.0
2010-05-12,Stock trading volume remains steady this week,0.16666666666666666
2013-09-15,Market crashes due to inflation concerns,-0.125
2013-08-11,Market closes with mixed results today,0.0
2012-03-26,Stock trading volume remains steady this week,0.16666666666666666
2011-11-07,Investors confident as economy shows strong recovery,0.4666666666666667
2013-09-02,Investors confident as economy shows strong recovery,0.4666666666666667
2014-08-29,Economic downturn leads to massive sell-off,0.1
2012-05-29,Stock trading volume remains steady this week,0.16666666666666666
2014-11-28,Economic downturn leads to massive sell-off,0.1
2014-07-12,Stock trading volume remains steady this week,0.16666666666666666
2014-02-06,Stock trading volume remains steady this week,0.16666666666666666
2014-12-07,Market crashes due to inflation concerns,-0.125
2014-05-08,Investors confident as economy shows strong recovery,0.4666666666666667
2015-03-15,Market crashes due to inflation concerns,-0.125
2014-05-02,Market closes with mixed results today,0.0
2012-08-28,Investors confident as economy shows strong recovery,0.4666666666666667
2010-11-06,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-12-23,Stock trading volume remains steady this week,0.16666666666666666
2012-11-16,Stock trading volume remains steady this week,0.16666666666666666
2011-03-26,Stock trading volume remains steady this week,0.16666666666666666
2010-01-30,Economic downturn leads to massive sell-off,0.1
2014-09-01,Stock trading volume remains steady this week,0.16666666666666666
2013-01-28,"Company Z faces bankruptcy, stock prices plummet",0.0
2011-03-26,Company X posts record-breaking revenue growth,0.0
2015-03-10,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-11-25,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-09-20,Analysts predict stable growth next quarter,0.0
2012-04-21,"Company Z faces bankruptcy, stock prices plummet",0.0
2011-11-19,Stock market surges as tech giants report strong earnings,0.4333333333333333
2013-12-02,Company X posts record-breaking revenue growth,0.0
2015-01-19,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-09-06,Investors confident as economy shows strong recovery,0.4666666666666667
2014-08-15,Market crashes due to inflation concerns,-0.125
2010-05-07,Analysts predict stable growth next quarter,0.0
2011-03-02,Market closes with mixed results today,0.0
2010-02-11,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-02-04,"Company Z faces bankruptcy, stock prices plummet",0.0
2011-11-30,"Company Z faces bankruptcy, stock prices plummet",0.0
2013-04-16,"Company Z faces bankruptcy, stock prices plummet",0.0
2013-09-07,Analysts predict stable growth next quarter,0.0
2011-07-23,Company X posts record-breaking revenue growth,0.0
2012-09-30,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-11-08,Market closes with mixed results today,0.0
2011-07-06,Economic downturn leads to massive sell-off,0.1
2014-11-11,Investors confident as economy shows strong recovery,0.4666666666666667
2012-03-21,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-06-29,Economic downturn leads to massive sell-off,0.1
2014-09-19,Economic downturn leads to massive sell-off,0.1
2011-10-15,Market crashes due to inflation concerns,-0.125
2013-11-20,Stock trading volume remains steady this week,0.16666666666666666
2012-07-09,"Company Z faces bankruptcy, stock prices plummet",0.0
2012-06-19,Market crashes due to inflation concerns,-0.125
2012-02-27,Company X posts record-breaking revenue growth,0.0
2012-03-31,Market closes with mixed results today,0.0
2015-05-24,Analysts predict stable growth next quarter,0.0
2010-07-19,Market crashes due to inflation concerns,-0.125
2014-09-05,Market crashes due to inflation concerns,-0.125
2011-08-01,Investors confident as economy shows strong recovery,0.4666666666666667
2014-11-08,Company X posts record-breaking revenue growth,0.0
2013-12-04,Market crashes due to inflation concerns,-0.125
2010-11-21,Analysts predict stable growth next quarter,0.0
2012-03-31,Analysts predict stable growth next quarter,0.0
2015-02-15,"Company Z faces bankruptcy, stock prices plummet",0.0
2015-02-01,Economic downturn leads to massive sell-off,0.1
2012-03-13,"Company Z faces bankruptcy, stock prices plummet",0.0
2011-09-09,Economic downturn leads to massive sell-off,0.1
2010-05-21,Market closes with mixed results today,0.0
2011-10-19,Market closes with mixed results today,0.0
2014-10-05,Analysts predict stable growth next quarter,0.0
2011-04-21,Market crashes due to inflation concerns,-0.125
2013-03-19,Analysts predict stable growth next quarter,0.0
2012-08-19,Market closes with mixed results today,0.0
2011-06-14,Economic downturn leads to massive sell-off,0.1
2014-02-15,Stock trading volume remains steady this week,0.16666666666666666
2012-06-10,Company X posts record-breaking revenue growth,0.0
2011-07-13,Stock market surges as tech giants report strong earnings,0.4333333333333333
2014-09-17,Stock market surges as tech giants report strong earnings,0.4333333333333333
2015-06-15,Market crashes due to inflation concerns,-0.125
2014-12-07,Market crashes due to inflation concerns,-0.125
2010-07-29,Analysts predict stable growth next quarter,0.0
2015-05-17,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-07-02,Stock market surges as tech giants report strong earnings,0.4333333333333333
2014-03-23,"Company Z faces bankruptcy, stock prices plummet",0.0
2012-10-04,Market crashes due to inflation concerns,-0.125
2012-09-15,Economic downturn leads to massive sell-off,0.1
2010-02-13,Market crashes due to inflation concerns,-0.125
2011-05-26,Investors confident as economy shows strong recovery,0.4666666666666667
2014-07-20,Market closes with mixed results today,0.0
2015-03-03,"Company Z faces bankruptcy, stock prices plummet",0.0
2011-07-07,"Company Z faces bankruptcy, stock prices plummet",0.0
2011-08-04,Economic downturn leads to massive sell-off,0.1
2014-02-12,Stock market surges as tech giants report strong earnings,0.4333333333333333
2014-02-28,Stock trading volume remains steady this week,0.16666666666666666
2013-03-16,Analysts predict stable growth next quarter,0.0
2013-06-21,Market crashes due to inflation concerns,-0.125
2012-08-11,Investors confident as economy shows strong recovery,0.4666666666666667
2010-05-25,Market closes with mixed results today,0.0
2014-01-09,Market closes with mixed results today,0.0
2012-02-11,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-10-02,Investors confident as economy shows strong recovery,0.4666666666666667
2013-11-02,Economic downturn leads to massive sell-off,0.1
2011-06-12,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-12-15,Market closes with mixed results today,0.0
2011-06-06,"Company Z faces bankruptcy, stock prices plummet",0.0
2011-08-24,Stock trading volume remains steady this week,0.16666666666666666
2012-06-04,Analysts predict stable growth next quarter,0.0
2011-08-22,Investors confident as economy shows strong recovery,0.4666666666666667
2010-10-11,Company X posts record-breaking revenue growth,0.0
2015-05-26,Economic downturn leads to massive sell-off,0.1
2011-05-05,Stock trading volume remains steady this week,0.16666666666666666
2015-05-04,Economic downturn leads to massive sell-off,0.1
2013-03-20,Market closes with mixed results today,0.0
2011-06-21,Stock market surges as tech giants report strong earnings,0.4333333333333333
2015-02-19,Investors confident as economy shows strong recovery,0.4666666666666667
2011-12-25,"Company Z faces bankruptcy, stock prices plummet",0.0
2015-01-19,Company X posts record-breaking revenue growth,0.0
2012-06-19,Investors confident as economy shows strong recovery,0.4666666666666667
2010-11-11,"Company Z faces bankruptcy, stock prices plummet",0.0
2012-12-15,Stock trading volume remains steady this week,0.16666666666666666
2014-10-07,Market closes with mixed results today,0.0
2015-06-04,Company X posts record-breaking revenue growth,0.0
2012-11-09,Market crashes due to inflation concerns,-0.125
2010-07-05,Investors confident as economy shows strong recovery,0.4666666666666667
2014-11-30,Analysts predict stable growth next quarter,0.0
2013-01-18,Analysts predict stable growth next quarter,0.0
2011-01-10,Economic downturn leads to massive sell-off,0.1
2015-03-09,Economic downturn leads to massive sell-off,0.1
2015-05-06,Stock market surges as tech giants report strong earnings,0.4333333333333333
2013-11-17,Stock trading volume remains steady this week,0.16666666666666666
2013-07-20,Economic downturn leads to massive sell-off,0.1
2011-06-03,"Company Z faces bankruptcy, stock prices plummet",0.0
2013-06-17,"Company Z faces bankruptcy, stock prices plummet",0.0
2015-03-13,Analysts predict stable growth next quarter,0.0
2010-09-09,Stock trading volume remains steady this week,0.16666666666666666
2014-03-23,"Company Z faces bankruptcy, stock prices plummet",0.0
2012-09-11,Stock trading volume remains steady this week,0.16666666666666666
2013-02-21,Investors confident as economy shows strong recovery,0.4666666666666667
2010-07-08,"Company Z faces bankruptcy, stock prices plummet",0.0
2010-11-16,Stock trading volume remains steady this week,0.16666666666666666
2011-06-02,Economic downturn leads to massive sell-off,0.1
2010-12-22,"Company Z faces bankruptcy, stock prices plummet",0.0
2015-03-27,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-07-17,Market closes with mixed results today,0.0
2011-01-01,Stock trading volume remains steady this week,0.16666666666666666
2010-12-30,"Company Z faces bankruptcy, stock prices plummet",0.0
2014-07-19,"Company Z faces bankruptcy, stock prices plummet",0.0
2011-01-09,Market closes with mixed results today,0.0
2013-02-22,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-01-04,Market closes with mixed results today,0.0
2013-10-25,Stock trading volume remains steady this week,0.16666666666666666
2014-01-29,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-12-21,Market crashes due to inflation concerns,-0.125
2011-06-24,Market crashes due to inflation concerns,-0.125
2012-01-12,Company X posts record-breaking revenue growth,0.0
2012-07-27,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-11-19,Stock trading volume remains steady this week,0.16666666666666666
2012-10-23,Market closes with mixed results today,0.0
2012-05-11,Market crashes due to inflation concerns,-0.125
2011-12-01,"Company Z faces bankruptcy, stock prices plummet",0.0
2014-09-13,Market closes with mixed results today,0.0
2013-12-07,Market crashes due to inflation concerns,-0.125
2015-03-17,Economic downturn leads to massive sell-off,0.1
2011-02-24,Stock market surges as tech giants report strong earnings,0.4333333333333333
2011-10-25,Company X posts record-breaking revenue growth,0.0
2010-11-13,Investors confident as economy shows strong recovery,0.4666666666666667
2013-09-02,"Company Z faces bankruptcy, stock prices plummet",0.0
2014-06-18,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-06-06,Stock market surges as tech giants report strong earnings,0.4333333333333333
2011-04-01,Investors confident as economy shows strong recovery,0.4666666666666667
2012-08-29,Market closes with mixed results today,0.0
2012-04-01,Analysts predict stable growth next quarter,0.0
2010-03-10,Investors confident as economy shows strong recovery,0.4666666666666667
2011-02-06,Stock trading volume remains steady this week,0.16666666666666666
2011-11-10,Company X posts record-breaking revenue growth,0.0
2010-04-11,Analysts predict stable growth next quarter,0.0
2010-03-21,Economic downturn leads to massive sell-off,0.1
2010-05-13,"Company Z faces bankruptcy, stock prices plummet",0.0
2013-06-20,Company X posts record-breaking revenue growth,0.0
2011-03-06,Stock trading volume remains steady this week,0.16666666666666666
2012-06-18,Economic downturn leads to massive sell-off,0.1
2012-08-31,Market crashes due to inflation concerns,-0.125
2011-05-21,Analysts predict stable growth next quarter,0.0
2011-01-23,Analysts predict stable growth next quarter,0.0
2011-06-07,Analysts predict stable growth next quarter,0.0
2013-10-23,Market crashes due to inflation concerns,-0.125
2012-02-04,Company X posts record-breaking revenue growth,0.0
2014-08-31,Company X posts record-breaking revenue growth,0.0
2011-08-09,Company X posts record-breaking revenue growth,0.0
2010-09-16,Investors confident as economy shows strong recovery,0.4666666666666667
2011-03-01,Analysts predict stable growth next quarter,0.0
2014-07-14,Company X posts record-breaking revenue growth,0.0
2010-03-12,Market crashes due to inflation concerns,-0.125
2013-04-02,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-08-15,"Company Z faces bankruptcy, stock prices plummet",0.0
2012-12-04,Analysts predict stable growth next quarter,0.0
2011-07-28,Market crashes due to inflation concerns,-0.125
2014-09-21,Stock market surges as tech giants report strong earnings,0.4333333333333333
2011-10-05,Economic downturn leads to massive sell-off,0.1
2012-07-05,Investors confident as economy shows strong recovery,0.4666666666666667
2011-07-02,Economic downturn leads to massive sell-off,0.1
2011-02-14,Market crashes due to inflation concerns,-0.125
2013-03-22,Stock market surges as tech giants report strong earnings,0.4333333333333333
2014-02-18,Investors confident as economy shows strong recovery,0.4666666666666667
2010-04-09,Stock trading volume remains steady this week,0.16666666666666666
2011-01-28,Investors confident as economy shows strong recovery,0.4666666666666667
2010-12-18,Analysts predict stable growth next quarter,0.0
2014-08-13,Market closes with mixed results today,0.0
2012-01-04,Market closes with mixed results today,0.0
2011-04-28,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-09-03,Market crashes due to inflation concerns,-0.125
2013-09-26,"Company Z faces bankruptcy, stock prices plummet",0.0
2010-07-27,Economic downturn leads to massive sell-off,0.1
2013-10-23,Market crashes due to inflation concerns,-0.125
2013-02-09,Investors confident as economy shows strong recovery,0.4666666666666667
2011-05-13,Market crashes due to inflation concerns,-0.125
2014-07-24,Market closes with mixed results today,0.0
2011-03-19,Investors confident as economy shows strong recovery,0.4666666666666667
2015-05-12,Investors confident as economy shows strong recovery,0.4666666666666667
2011-03-16,Stock trading volume remains steady this week,0.16666666666666666
2012-10-05,Company X posts record-breaking revenue growth,0.0
2012-06-07,Stock market surges as tech giants report strong earnings,0.4333333333333333
2014-04-05,Market crashes due to inflation concerns,-0.125
2014-04-04,Stock trading volume remains steady this week,0.16666666666666666
2011-12-23,Company X posts record-breaking revenue growth,0.0
2010-11-15,Company X posts record-breaking revenue growth,0.0
2013-05-19,Investors confident as economy shows strong recovery,0.4666666666666667
2014-10-11,Economic downturn leads to massive sell-off,0.1
2014-07-29,Investors confident as economy shows strong recovery,0.4666666666666667
2013-06-01,Company X posts record-breaking revenue growth,0.0
2013-08-29,Analysts predict stable growth next quarter,0.0
2012-11-16,Economic downturn leads to massive sell-off,0.1
2010-03-31,Market closes with mixed results today,0.0
2010-10-10,Company X posts record-breaking revenue growth,0.0
2011-12-25,Market crashes due to inflation concerns,-0.125
2014-02-23,Market closes with mixed results today,0.0
2011-06-29,Investors confident as economy shows strong recovery,0.4666666666666667
2011-01-16,Stock market surges as tech giants report strong earnings,0.4333333333333333
2015-04-06,Economic downturn leads to massive sell-off,0.1
2013-03-17,Company X posts record-breaking revenue growth,0.0
2014-03-08,Analysts predict stable growth next quarter,0.0
2014-07-20,Stock trading volume remains steady this week,0.16666666666666666
2013-03-12,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-08-01,Market crashes due to inflation concerns,-0.125
2010-03-25,Economic downturn leads to massive sell-off,0.1
2013-03-17,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-10-25,Company X posts record-breaking revenue growth,0.0
2010-08-21,Analysts predict stable growth next quarter,0.0
2010-09-05,Economic downturn leads to massive sell-off,0.1
2011-03-17,"Company Z faces bankruptcy, stock prices plummet",0.0
2012-03-31,Market closes with mixed results today,0.0
2012-06-14,Stock trading volume remains steady this week,0.16666666666666666
2014-02-19,Stock trading volume remains steady this week,0.16666666666666666
2013-06-12,Company X posts record-breaking revenue growth,0.0
2010-10-16,Investors confident as economy shows strong recovery,0.4666666666666667
2012-12-03,Market crashes due to inflation concerns,-0.125
2010-12-26,Market closes with mixed results today,0.0
2011-02-02,Company X posts record-breaking revenue growth,0.0
2013-06-10,Market crashes due to inflation concerns,-0.125
2010-09-07,Analysts predict stable growth next quarter,0.0
2012-07-23,Investors confident as economy shows strong recovery,0.4666666666666667
2010-12-18,Economic downturn leads to massive sell-off,0.1
2010-08-12,Company X posts record-breaking revenue growth,0.0
2012-03-05,Analysts predict stable growth next quarter,0.0
2013-05-11,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-07-19,"Company Z faces bankruptcy, stock prices plummet",0.0
2013-05-05,Stock trading volume remains steady this week,0.16666666666666666
2011-08-31,Investors confident as economy shows strong recovery,0.4666666666666667
2014-08-06,Analysts predict stable growth next quarter,0.0
2015-05-30,Investors confident as economy shows strong recovery,0.4666666666666667
2014-07-08,"Company Z faces bankruptcy, stock prices plummet",0.0
2013-07-26,Analysts predict stable growth next quarter,0.0
2014-08-13,Market closes with mixed results today,0.0
2010-09-01,Investors confident as economy shows strong recovery,0.4666666666666667
2013-01-27,Market crashes due to inflation concerns,-0.125
2014-07-24,Analysts predict stable growth next quarter,0.0
2012-03-29,Market crashes due to inflation concerns,-0.125
2011-04-04,Economic downturn leads to massive sell-off,0.1
2010-10-13,Investors confident as economy shows strong recovery,0.4666666666666667
2010-04-10,Company X posts record-breaking revenue growth,0.0
2010-08-23,Company X posts record-breaking revenue growth,0.0
2012-07-24,Stock trading volume remains steady this week,0.16666666666666666
2010-03-13,Market closes with mixed results today,0.0
2012-10-12,Stock trading volume remains steady this week,0.16666666666666666
2010-04-13,Economic downturn leads to massive sell-off,0.1
2014-12-17,Investors confident as economy shows strong recovery,0.4666666666666667
2010-10-18,Market crashes due to inflation concerns,-0.125
2013-06-12,Investors confident as economy shows strong recovery,0.4666666666666667
2013-12-16,"Company Z faces bankruptcy, stock prices plummet",0.0
2014-09-11,Economic downturn leads to massive sell-off,0.1
2011-06-12,Market crashes due to inflation concerns,-0.125
2015-02-23,Market crashes due to inflation concerns,-0.125
2014-11-27,"Company Z faces bankruptcy, stock prices plummet",0.0
2014-12-21,Analysts predict stable growth next quarter,0.0
2013-02-16,Investors confident as economy shows strong recovery,0.4666666666666667
2014-03-13,Company X posts record-breaking revenue growth,0.0
2013-11-04,"Company Z faces bankruptcy, stock prices plummet",0.0
2013-01-11,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-06-11,Market crashes due to inflation concerns,-0.125
2011-09-19,Stock market surges as tech giants report strong earnings,0.4333333333333333
2014-05-12,Company X posts record-breaking revenue growth,0.0
2013-09-19,Stock market surges as tech giants report strong earnings,0.4333333333333333
2014-05-25,Stock market surges as tech giants report strong earnings,0.4333333333333333
2013-03-10,"Company Z faces bankruptcy, stock prices plummet",0.0
2012-01-21,Market closes with mixed results today,0.0
2014-08-29,Economic downturn leads to massive sell-off,0.1
2010-11-02,Market crashes due to inflation concerns,-0.125
2010-01-08,Company X posts record-breaking revenue growth,0.0
2010-01-11,Economic downturn leads to massive sell-off,0.1
2013-10-23,Company X posts record-breaking revenue growth,0.0
2010-03-18,Market crashes due to inflation concerns,-0.125
2014-08-04,Market closes with mixed results today,0.0
2011-03-22,Market closes with mixed results today,0.0
2012-04-25,Stock trading volume remains steady this week,0.16666666666666666
2012-09-16,Market closes with mixed results today,0.0
2014-07-06,Analysts predict stable growth next quarter,0.0
2010-04-10,Market closes with mixed results today,0.0
2014-08-20,Investors confident as economy shows strong recovery,0.4666666666666667
2014-03-09,Analysts predict stable growth next quarter,0.0
2010-06-29,Economic downturn leads to massive sell-off,0.1
2015-02-21,Company X posts record-breaking revenue growth,0.0
2012-12-30,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-08-21,Stock trading volume remains steady this week,0.16666666666666666
2013-03-16,Stock trading volume remains steady this week,0.16666666666666666
2013-03-21,Analysts predict stable growth next quarter,0.0
2014-03-11,Market crashes due to inflation concerns,-0.125
2014-01-06,Investors confident as economy shows strong recovery,0.4666666666666667
2013-11-26,Market crashes due to inflation concerns,-0.125
2011-01-22,Economic downturn leads to massive sell-off,0.1
2011-06-14,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-11-01,Economic downturn leads to massive sell-off,0.1
2012-04-17,Company X posts record-breaking revenue growth,0.0
2014-01-23,Investors confident as economy shows strong recovery,0.4666666666666667
2012-02-01,Market crashes due to inflation concerns,-0.125
2010-01-20,Stock trading volume remains steady this week,0.16666666666666666
2010-05-24,Market crashes due to inflation concerns,-0.125
2011-12-12,Economic downturn leads to massive sell-off,0.1
2013-01-20,Market closes with mixed results today,0.0
2014-05-29,Analysts predict stable growth next quarter,0.0
